Id,Kabupaten/Kota,Harapan Lama Sekolah (2019),Harapan Lama Sekolah (2020),Harapan Lama Sekolah (2021),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang)(2019),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2020),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2021),Rata-rata Lama Sekolah (2019),Rata-rata Lama Sekolah (2020),Rata-rata Lama Sekolah (2021),Umur Harapan Hidup Saat Lahir (UHH) (2019),Umur Harapan Hidup Saat Lahir (UHH) (2020),Umur Harapan Hidup Saat Lahir (UHH) (2021),Indeks Pembangunan Manusia (2019),Indeks Pembangunan Manusia (2020),Indeks Pembangunan Manusia (2021),Peringkat Indeks Pembangunan Manusia (2019),Peringkat Indeks Pembangunan Manusia (2020),Peringkat Indeks Pembangunan Manusia (2021),Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2019) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2020) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2021) ,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2019),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2020),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2021)
1,Buton Tengah,12.7,13.0,13.12,7264,7221,7244,7.29,7.3,7.31,67.5,67.66,67.69,64.06,64.37,64.55,-,-,-,0.34,0.38,0.38,1.64,1.91,2.14
2,Kuantan Singingi,13.32,13.33,13.34,10820,10243,10309,8.58,8.59,8.75,68.44,68.55,68.6,70.78,70.31,70.6,-,-,-,0.32,0.32,0.23,1.28,1.44,1.14
3,Lombok Utara,12.71,12.72,12.76,9279,9006,9057,5.84,5.91,6.04,66.92,67.17,67.36,64.49,64.42,64.77,-,-,-,2.42,2.58,1.66,7.39,7.09,5.69
5,Buol,13.08,13.09,13.1,8151,7942,7974,8.75,8.86,9.08,68.17,68.76,69.05,67.69,67.82,68.25,-,-,-,0.78,0.47,0.51,2.89,1.97,2.01
8,Kota Tebing Tinggi,12.71,12.72,12.73,12895,12876,12939,10.28,10.31,10.44,70.76,70.87,70.95,75.08,75.17,75.42,-,-,-,0.31,0.56,0.28,1.47,1.74,1.37
9,Jeneponto,11.97,11.98,12.1,9078,9114,9215,6.48,6.59,6.6,66.24,66.39,66.49,64.0,64.26,64.56,-,-,-,0.41,0.68,0.29,2.02,2.6,1.64
10,Timor Tengah Utara,13.3,13.31,13.32,6479,6364,6324,7.51,7.81,7.96,66.86,66.96,67.09,63.34,63.53,63.69,-,-,-,1.09,0.9,0.93,4.05,3.75,3.77
11,Konawe Utara,12.54,12.83,13.08,9215,9165,9181,8.97,9.21,9.3,69.23,69.51,69.53,69.22,69.86,70.23,-,-,-,0.74,0.86,0.63,2.66,2.92,2.4
12,Kota Tidore Kepulauan,14.2,14.31,14.32,8608,8188,8316,9.64,9.73,9.95,69.22,69.34,69.43,70.83,70.53,70.99,-,-,-,0.06,0.11,0.17,0.4,0.6,0.82
13,Batang,12.0,12.01,12.13,9573,9431,9524,6.63,6.87,6.88,74.59,74.69,74.74,68.42,68.65,68.92,-,-,-,0.08,0.32,0.48,0.69,1.43,1.76
15,Kepulauan Talaud,12.27,12.51,12.59,8638,8505,8558,9.25,9.51,9.72,70.04,70.16,70.24,68.97,69.4,69.83,-,-,-,0.17,0.24,0.28,1.0,1.26,1.34
16,Halmahera Utara,13.59,13.6,13.61,7713,7414,7519,8.38,8.51,8.62,69.47,69.56,69.61,67.75,67.5,67.82,27,27,28,0.07,0.09,0.07,0.38,0.38,0.48
17,Kediri,12.88,13.15,13.44,11146,11000,11127,8.01,8.02,8.08,72.54,72.61,72.65,71.85,72.05,72.56,-,-,-,0.22,0.33,0.25,1.24,1.55,1.35
18,Tanah Bumbu,12.36,12.37,12.48,12025,11718,11844,7.71,7.96,7.97,70.08,70.34,70.45,70.5,70.71,71.0,-,-,-,0.19,0.14,0.12,0.79,0.69,0.65
19,Tabalong,12.59,12.72,12.89,11476,11283,11470,8.78,9.1,9.11,70.33,70.44,70.57,71.78,72.19,72.6,-,-,-,0.29,0.21,0.24,1.04,0.72,1.08
22,Luwu,13.32,13.33,13.39,10085,10014,10116,8.15,8.24,8.35,70.19,70.34,70.44,70.39,70.51,70.85,-,-,-,0.72,0.49,0.46,2.71,2.12,1.77
23,Lampung Barat,12.24,12.25,12.26,9970,9929,9969,7.85,8.06,8.07,67.43,67.58,67.65,67.5,67.8,67.9,-,-,-,0.38,0.55,0.8,1.86,2.01,2.69
24,Kota Parepare,14.49,14.5,14.51,13648,13663,13786,10.3,10.45,10.65,71.18,71.27,71.31,77.62,77.86,78.21,-,-,-,0.15,0.24,0.13,0.71,0.94,0.72
25,Tapin,11.86,11.94,11.95,12088,11841,11952,7.75,7.76,7.77,70.23,70.4,70.57,70.13,70.11,70.31,-,-,-,0.09,0.12,0.04,0.46,0.45,0.28
26,Malang,13.17,13.18,13.24,10270,10028,10163,7.27,7.42,7.43,72.45,72.55,72.61,70.35,70.36,70.6,-,-,-,0.4,0.3,0.3,1.57,1.37,1.41
27,Lampung Timur,12.84,12.85,12.86,10028,9983,10026,7.59,7.6,7.77,70.61,70.73,70.78,69.34,69.37,69.66,-,-,-,0.6,0.64,0.53,2.5,2.5,2.45
28,Solok Selatan,12.7,12.71,12.72,10505,10325,10367,8.16,8.28,8.32,67.58,67.81,68.01,68.94,69.04,69.23,-,-,-,0.21,0.15,0.31,0.84,0.79,1.28
29,Aceh Tamiang,13.58,13.59,13.76,8362,8327,8367,8.89,8.9,8.91,69.52,69.58,69.63,69.23,69.24,69.48,-,-,-,0.37,0.28,0.35,1.65,1.61,1.67
30,Minahasa Selatan,12.43,12.74,12.83,11760,11481,11554,8.85,9.08,9.09,69.8,69.92,70.01,71.68,72.11,72.32,7,7,6,0.27,0.2,0.26,1.31,1.02,1.19
31,Kota Gorontalo,14.32,14.34,14.5,12298,12278,12390,10.35,10.36,10.37,72.42,72.49,72.53,77.08,77.13,77.41,-,-,-,0.13,0.1,0.22,0.68,0.61,0.79
32,Nias,12.39,12.57,12.84,7042,6898,6995,5.15,5.36,5.64,69.68,69.75,69.78,61.65,61.93,62.74,-,-,-,0.59,0.32,0.43,2.53,1.91,2.21
34,Kapuas,12.9,12.92,12.93,11063,11015,11148,7.52,7.59,7.6,68.69,68.74,68.78,69.38,69.48,69.63,-,-,-,0.1,0.19,0.09,0.56,0.78,0.55
35,Jayapura,14.19,14.2,14.39,10375,9898,9989,9.79,10.04,10.05,66.93,67.05,67.16,71.84,71.69,72.03,-,-,-,0.8,0.53,0.7,2.67,2.04,2.42
36,Takalar,12.25,12.41,12.42,10474,10454,10543,7.18,7.29,7.49,67.01,67.18,67.3,66.94,67.31,67.72,14,14,12,0.19,0.21,0.17,1.08,1.09,1.03
37,Kota Binjai,13.61,13.62,13.63,11260,10997,11063,10.77,10.93,10.94,72.25,72.38,72.45,75.89,75.89,76.01,-,-,-,0.02,0.11,0.09,0.27,0.59,0.59
39,Purbalingga,11.98,11.99,12.0,10131,9914,10032,7.14,7.24,7.25,73.02,73.14,73.21,68.99,68.97,69.15,-,-,-,0.47,0.44,0.41,2.24,2.32,2.1
40,Sumba Barat Daya,13.05,13.06,13.07,6594,6372,6355,6.33,6.34,6.35,68.43,68.53,68.57,62.6,62.28,62.29,-,-,-,0.93,1.13,1.1,4.35,4.5,4.6
41,Kota Bandar Lampung,14.53,14.64,14.7,12255,12197,12247,10.92,10.93,10.95,71.28,71.37,71.42,77.33,77.44,77.58,-,-,-,0.38,0.45,0.39,1.49,1.61,1.52
42,Kota Baru,11.92,11.93,11.95,11731,11530,11720,7.42,7.43,7.46,69.1,69.21,69.32,68.95,68.86,69.13,-,-,-,0.15,0.12,0.04,0.72,0.6,0.37
43,Bangkalan,11.59,11.6,11.73,8718,8610,8673,5.66,5.95,5.96,70.11,70.18,70.22,63.79,64.11,64.36,-,-,-,1.08,1.29,0.86,4.0,4.25,3.51
44,Seram Bagian Timur,12.75,12.76,12.77,9452,9453,9480,8.22,8.43,8.46,59.16,59.41,59.62,63.74,64.12,64.3,-,-,-,1.18,1.22,0.98,4.35,4.44,3.79
45,Rembang,12.1,12.11,12.12,10551,10328,10519,7.15,7.16,7.3,74.43,74.55,74.61,70.15,70.02,70.43,-,-,-,0.48,0.53,0.68,2.32,2.44,2.77
46,Pidie,14.45,14.46,14.47,9824,9816,9860,8.82,8.99,9.0,66.89,66.94,66.95,70.41,70.63,70.7,-,-,-,0.71,0.45,0.84,2.99,2.2,3.04
47,Tuban,12.2,12.21,12.22,10499,10238,10380,6.81,6.95,7.18,71.26,71.43,71.56,68.37,68.4,68.91,-,-,-,0.75,0.48,0.86,2.84,2.27,3.26
48,Kebumen,13.04,13.34,13.35,9066,8901,9028,7.53,7.54,7.55,73.22,73.4,73.55,69.6,69.81,70.05,-,-,-,0.65,0.55,0.88,2.58,2.62,3.24
49,Dogiyai,10.57,10.58,10.59,5709,5373,5415,4.92,4.93,4.94,65.6,65.73,65.85,55.41,54.84,55.0,-,-,-,1.82,1.86,0.78,6.3,5.55,3.68
50,Kota Magelang,13.81,14.14,14.15,12514,12210,12349,10.33,10.39,10.62,76.75,76.85,76.93,78.8,78.99,79.43,-,-,-,0.19,0.24,0.15,0.99,1.12,0.85
51,Kota Banjar,13.22,13.23,13.24,10705,10535,10476,8.62,8.63,8.77,70.79,70.99,71.19,71.75,71.7,71.92,-,-,-,0.1,0.12,0.28,0.57,0.7,1.19
52,Kota Tomohon,14.19,14.2,14.21,12152,11745,11851,10.48,10.73,10.74,71.79,71.93,72.06,76.67,76.69,76.86,-,-,-,0.21,0.25,0.21,0.78,0.96,0.94
54,Kota Padang Panjang,15.05,15.06,15.07,11013,10734,10754,11.45,11.62,11.63,72.77,72.82,72.82,78.0,77.93,77.97,-,-,-,0.09,0.08,0.16,0.53,0.46,0.76
55,Bungo,12.61,12.62,12.63,11662,11471,11670,8.15,8.27,8.28,67.61,67.74,67.83,69.86,69.92,70.15,-,-,-,0.16,0.17,0.18,0.81,0.72,0.92
56,Kulon Progo,14.25,14.26,14.27,10275,10041,10069,8.66,8.86,9.02,75.2,75.24,75.27,74.44,74.46,74.71,-,-,-,0.61,0.86,0.75,2.72,3.22,3.01
57,Tojo Una-Una,12.25,12.28,12.29,7765,7606,7621,8.38,8.39,8.4,65.14,65.67,65.9,64.52,64.59,64.74,-,-,-,0.22,1.03,0.95,1.76,3.27,3.25
58,Sidoarjo,14.91,14.93,14.94,14609,14458,14578,10.25,10.5,10.72,73.98,74.04,74.06,80.05,80.29,80.65,-,-,-,0.42,0.26,0.25,1.22,0.96,0.95
59,Yahukimo,7.6,7.61,7.62,5030,4875,4895,4.02,4.26,4.27,65.8,65.93,66.05,49.25,49.37,49.48,-,-,-,3.01,1.93,2.08,9.3,7.41,7.38
60,Kota Prabumulih,12.9,12.91,12.92,13072,12723,12752,9.72,9.96,9.97,70.09,70.32,70.47,74.4,74.55,74.67,-,-,-,0.28,0.23,0.18,1.37,1.27,1.2
61,Bener Meriah,13.45,13.46,13.47,11124,11098,11118,9.78,9.79,10.0,69.19,69.22,69.26,72.97,72.98,73.27,-,-,-,0.69,0.97,1.51,3.09,3.52,4.62
62,Wajo,13.13,13.14,13.15,12399,12386,12505,6.8,6.81,7.05,67.17,67.35,67.48,69.05,69.15,69.62,-,-,-,0.26,0.21,0.15,1.06,0.98,0.79
63,Halmahera Selatan,12.77,12.78,12.79,7298,7068,7142,7.92,7.93,8.1,65.75,65.86,65.93,64.11,63.84,64.19,-,-,-,0.09,0.08,0.12,0.43,0.45,0.61
64,Mamasa,11.74,12.05,12.36,7769,7747,7736,7.37,7.65,7.88,70.75,70.87,70.94,65.32,66.02,66.63,-,-,-,0.5,0.31,0.59,2.19,1.71,2.25
65,Kota Manado,14.14,14.15,14.16,14232,13886,13991,11.26,11.27,11.42,71.8,71.87,71.9,79.12,78.93,79.2,-,-,-,0.2,0.36,0.33,0.89,1.25,1.23
66,Barru,13.57,13.58,13.59,10911,10923,11017,7.96,8.23,8.24,68.91,69.02,69.07,70.6,71.0,71.13,-,-,-,0.21,0.36,0.39,1.07,1.31,1.52
67,Sabu Raijua,13.13,13.14,13.15,5354,5265,5256,6.33,6.65,6.66,60.23,60.64,60.66,56.66,57.02,57.03,-,-,-,1.78,1.57,2.94,6.2,5.88,8.12
68,Kota Tanjung Balai,12.49,12.5,12.62,11383,11132,11225,9.26,9.44,9.45,63.02,63.27,63.44,68.51,68.65,68.94,-,-,-,0.28,0.32,0.32,1.69,1.69,1.72
69,Belitung Timur,11.51,11.52,11.63,11831,11730,11760,8.15,8.22,8.47,71.9,72.03,72.1,70.84,70.92,71.42,-,-,-,0.16,0.19,0.29,0.81,0.7,1.15
71,Pasuruan,12.31,12.41,12.58,10381,10164,10297,7.11,7.4,7.41,70.17,70.23,70.25,68.29,68.6,68.93,-,-,-,0.43,0.23,0.24,1.56,1.15,1.17
72,Barito Kuala,12.38,12.39,12.4,9952,9805,9868,7.33,7.34,7.55,65.88,66.09,66.27,66.24,66.22,66.64,-,-,-,0.07,0.21,0.12,0.44,0.81,0.57
73,Kota Tangerang,13.84,13.85,13.87,14860,14484,14575,10.65,10.69,10.83,71.57,71.6,71.6,78.43,78.25,78.5,-,-,-,0.15,0.15,0.27,0.64,0.74,1.08
74,Kotawaringin Timur,12.69,12.84,12.85,11905,11854,11866,8.12,8.13,8.15,69.8,69.85,69.9,71.16,71.31,71.38,-,-,-,0.24,0.16,0.2,0.92,0.87,0.89
75,Indramayu,12.24,12.25,12.26,10090,9859,9810,5.99,6.3,6.52,71.37,71.63,71.84,66.97,67.29,67.64,-,-,-,0.4,0.56,0.66,1.66,2.18,2.46
76,Kota Sukabumi,13.46,13.47,13.58,11204,10999,10942,9.58,9.59,9.81,72.26,72.42,72.58,74.31,74.21,74.6,-,-,-,0.32,0.22,0.36,1.08,1.17,1.39
77,Lebak,11.96,11.97,11.98,8850,8690,8724,6.31,6.4,6.41,67.04,67.21,67.33,63.88,63.91,64.03,-,-,-,0.21,0.24,0.4,0.97,1.14,1.66
80,Puncak,5.19,5.39,5.4,5702,5378,5412,1.96,2.15,2.16,65.61,65.74,65.86,42.7,43.04,43.17,-,-,-,2.98,2.63,3.49,9.7,8.61,9.92
81,Kep. Seribu,12.56,12.57,12.63,12623,12412,12587,8.47,8.68,8.81,68.51,68.76,68.99,71.4,71.63,72.1,-,-,-,0.46,0.42,0.63,1.95,2.1,2.61
82,Kota Singkawang,12.89,12.9,12.91,11789,11650,11767,7.72,7.89,7.9,71.85,72.06,72.18,71.72,71.94,72.11,-,-,-,0.1,0.09,0.17,0.53,0.48,0.73
83,Toli-Toli,12.72,12.73,12.89,8156,7917,7947,8.26,8.51,8.76,65.3,65.9,66.18,65.42,65.69,66.3,-,-,-,0.46,0.63,0.3,1.89,2.33,1.66
84,Kepulauan Selayar,12.48,12.65,12.66,9028,8970,9060,7.63,7.88,8.08,68.34,68.46,68.52,66.91,67.38,67.76,-,-,-,0.9,0.6,0.46,2.87,2.25,2.09
86,Kota Pekalongan,12.83,12.84,12.85,12680,12467,12598,8.71,8.96,9.18,74.28,74.38,74.44,74.77,74.98,75.4,-,-,-,0.18,0.3,0.41,0.92,1.28,1.51
87,Kota Ambon,16.02,16.03,16.04,14233,14116,14148,11.91,11.92,12.2,70.35,70.52,70.63,80.81,80.84,81.23,-,-,-,0.18,0.06,0.14,0.77,0.41,0.64
89,Badung,13.97,13.98,13.99,17628,17503,17327,10.38,10.39,10.62,74.99,75.1,75.18,81.59,81.6,81.83,-,-,-,0.03,0.07,0.1,0.16,0.31,0.43
90,Kerinci,13.86,13.87,13.88,10198,9995,10184,8.21,8.55,8.56,69.82,69.93,70.0,70.95,71.21,71.45,-,-,-,0.1,0.21,0.15,0.59,1.05,0.81
91,Tapanuli Tengah,12.79,13.06,13.07,10175,10071,10138,8.48,8.62,8.84,67.08,67.15,67.24,68.86,69.23,69.61,-,-,-,0.41,0.44,0.47,1.64,1.84,2.04
92,Sintang,12.02,12.03,12.04,8823,8728,8708,6.89,7.07,7.08,71.62,71.71,71.84,66.7,66.88,66.93,-,-,-,0.26,0.19,0.34,1.32,1.03,1.47
94,Paniai,10.48,10.49,10.5,6767,6361,6377,4.38,4.57,4.77,66.27,66.44,66.62,56.58,56.31,56.7,-,-,-,1.59,1.45,0.79,6.52,6.23,4.6
95,Kolaka,12.8,12.81,12.83,12525,12515,12525,8.76,8.98,8.99,70.72,71.06,71.21,73.01,73.45,73.56,-,-,-,0.5,0.55,0.98,1.79,1.99,3.02
97,Bandung Barat,11.86,11.87,11.88,8684,8455,8546,8.18,8.19,8.2,72.18,72.34,72.52,68.27,68.08,68.29,-,-,-,0.33,0.25,0.32,1.54,1.4,1.62
98,Maluku Tengah,14.15,14.16,14.17,10298,10210,10243,9.64,9.67,9.68,66.34,66.42,66.45,71.25,71.25,71.32,-,-,-,0.95,1.28,1.28,3.67,4.05,4.03
99,Nias Barat,12.71,12.94,12.95,6009,5830,5924,6.14,6.49,6.69,68.82,68.96,69.08,61.14,61.51,61.99,-,-,-,0.71,0.61,0.76,3.34,3.21,3.32
101,Kota Medan,14.73,14.74,14.75,15033,14890,14999,11.38,11.39,11.48,72.98,73.14,73.23,80.97,80.98,81.21,-,-,-,0.25,0.23,0.23,1.16,1.08,1.1
102,Kota Probolinggo,13.57,13.59,13.6,12280,12180,12245,8.69,8.7,8.95,70.19,70.29,70.35,73.27,73.27,73.66,-,-,-,0.26,0.28,0.17,1.04,1.19,0.9
103,Kepulauan Sula,12.73,12.74,12.77,7221,6950,7040,8.73,8.95,9.0,63.18,63.3,63.39,63.64,63.53,63.8,-,-,-,0.22,0.16,0.24,0.93,0.88,1.22
104,Banyumas,12.82,12.85,13.03,11703,11448,11546,7.42,7.52,7.63,73.55,73.72,73.8,71.96,71.98,72.44,-,-,-,0.67,0.5,0.57,2.52,2.25,2.36
106,Kota Ternate,15.73,15.74,15.75,13632,13091,13290,11.58,11.71,11.81,70.85,70.97,71.06,80.03,79.82,80.14,-,-,-,0.2,0.1,0.18,0.62,0.38,0.53
107,Raja Ampat,12.02,12.03,12.06,7958,8014,7882,7.8,7.91,8.02,64.7,64.74,64.83,63.66,63.89,63.92,-,-,-,0.67,0.81,0.75,2.61,3.06,2.82
108,Aceh Barat Daya,13.57,13.58,13.65,8491,8316,8428,8.35,8.66,8.67,64.91,65.0,65.06,66.56,66.75,66.99,-,-,-,0.36,0.9,0.74,1.97,3.41,2.88
109,Manokwari Selatan,12.33,12.35,12.35,5511,5505,5505,6.57,6.63,6.63,67.48,67.58,67.6,59.72,59.84,59.85,-,-,-,2.67,3.55,3.45,7.77,8.61,8.92
110,Kota Baubau,14.81,15.16,15.17,10523,10483,10503,10.37,10.64,10.91,70.95,71.19,71.25,75.21,75.9,76.26,-,-,-,0.28,0.2,0.18,1.05,1.05,1.05
111,Jepara,12.74,12.75,12.76,10609,10343,10536,7.44,7.68,7.79,75.74,75.84,75.91,71.88,71.99,72.36,-,-,-,0.1,0.07,0.17,0.64,0.6,0.88
112,Sorong,13.43,13.71,13.72,7507,7495,7350,8.02,8.17,8.33,66.02,66.1,66.22,65.29,65.74,65.77,-,-,-,3.07,1.78,2.91,8.24,5.97,7.76
113,Barito Selatan,12.54,12.55,12.66,11582,11486,11492,8.71,8.82,8.95,66.99,67.09,67.19,70.1,70.22,70.54,-,-,-,0.05,0.26,0.04,0.39,0.89,0.35
