Id,Kabupaten/Kota,Harapan Lama Sekolah (2019),Harapan Lama Sekolah (2020),Harapan Lama Sekolah (2021),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang)(2019),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2020),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2021),Rata-rata Lama Sekolah (2019),Rata-rata Lama Sekolah (2020),Rata-rata Lama Sekolah (2021),Umur Harapan Hidup Saat Lahir (UHH) (2019),Umur Harapan Hidup Saat Lahir (UHH) (2020),Umur Harapan Hidup Saat Lahir (UHH) (2021),Indeks Pembangunan Manusia (2019),Indeks Pembangunan Manusia (2020),Indeks Pembangunan Manusia (2021),Peringkat Indeks Pembangunan Manusia (2019),Peringkat Indeks Pembangunan Manusia (2020),Peringkat Indeks Pembangunan Manusia (2021),Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2019) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2020) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2021) ,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2019),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2020),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2021)
381,Bantul,15.15,15.17,15.38,15636,15517,15545,9.54,9.55,9.57,73.77,73.86,73.89,80.01,80.01,80.28,-,-,-,0.43,0.43,0.54,1.87,1.85,2.24
382,Kota Jakarta Selatan,13.32,13.33,13.34,23851,23575,23888,11.62,11.63,11.64,74.03,74.12,74.2,84.75,84.72,84.9,-,-,-,0.09,0.1,0.18,0.39,0.47,0.62
384,Kota Payakumbuh,14.25,14.26,14.27,13464,13281,13317,10.72,10.73,10.81,73.61,73.74,73.84,78.95,78.9,79.08,-,-,-,0.06,0.14,0.17,0.46,0.71,0.82
385,Kutai Barat,12.89,12.9,13.02,10338,9712,10062,8.34,8.47,8.7,72.79,72.86,73.1,71.63,71.19,72.07,-,-,-,0.41,0.28,0.21,1.48,1.23,1.07
386,Barito Utara,12.48,12.49,12.5,10010,9936,9951,8.6,8.71,8.85,71.29,71.3,71.3,70.52,70.59,70.79,-,-,-,0.17,0.13,0.12,0.76,0.67,0.59
387,Merangin,11.98,11.99,12.04,10312,10279,10380,7.68,7.76,7.9,71.18,71.26,71.29,69.07,69.19,69.53,-,-,-,0.38,0.21,0.25,1.39,0.94,1.25
388,Mesuji,11.62,11.63,11.64,8144,7894,7980,6.61,6.88,7.08,68.04,68.19,68.26,63.52,63.63,64.04,-,-,-,0.2,0.19,0.15,0.93,0.88,0.83
389,Siak,12.75,12.76,12.81,12347,11799,11807,9.65,9.66,9.86,71.03,71.11,71.13,74.07,73.68,73.98,-,-,-,0.13,0.45,0.12,0.64,1.27,0.61
390,Mappi,10.54,10.55,10.79,6513,6353,6327,6.3,6.31,6.51,64.91,65.11,65.31,58.3,58.15,58.7,-,-,-,1.24,1.46,1.17,4.66,4.99,4.46
391,Malaka,12.77,12.78,12.79,5998,5901,5861,6.86,6.87,7.1,64.89,64.97,65.01,60.34,60.21,60.42,-,-,-,0.7,0.52,0.44,2.81,2.48,2.04
392,Nagan Raya,14.12,14.13,14.14,8348,8216,8292,8.5,8.68,8.69,69.14,69.22,69.24,69.11,69.18,69.31,-,-,-,0.83,0.94,1.01,3.17,3.33,3.5
393,Way Kanan,12.35,12.36,12.37,9292,9102,9173,7.39,7.7,7.71,69.27,69.4,69.46,67.19,67.44,67.57,-,-,-,0.46,0.39,0.55,2.04,1.9,2.12
394,Kota Lhokseumawe,15.19,15.2,15.21,11421,11367,11390,10.9,10.91,11.11,71.52,71.6,71.64,77.3,77.31,77.57,-,-,-,0.3,0.29,0.54,1.51,1.56,1.87
395,Sarmi,11.81,12.05,12.29,6860,6600,6617,8.53,8.82,8.83,66.26,66.36,66.46,63.45,63.63,63.94,-,-,-,0.95,0.29,0.59,3.01,1.56,2.33
397,Boyolali,12.43,12.56,12.57,13079,12910,13031,7.56,7.84,7.85,75.83,75.95,76.03,73.8,74.25,74.4,-,-,-,0.14,0.23,0.38,1.02,1.3,1.76
398,Kubu Raya,13.64,13.82,13.87,8773,8709,8630,6.82,6.83,7.0,70.43,70.59,70.69,67.76,67.95,68.16,-,-,-,0.17,0.14,0.1,0.75,0.62,0.47
399,Paser,13.0,13.1,13.25,10767,10344,10673,8.54,8.55,8.79,72.52,72.62,72.88,72.29,72.04,72.93,-,-,-,0.4,0.21,0.32,1.57,1.04,1.37
400,Kota Tasikmalaya,13.44,13.45,13.46,10414,10263,10213,9.13,9.33,9.52,71.93,72.15,72.34,72.84,73.04,73.31,-,-,-,0.53,0.39,0.69,1.98,1.75,2.42
401,Pegunungan Arfak,11.62,11.72,11.72,5102,5099,5009,5.08,5.12,5.12,67.18,67.24,67.26,56.15,56.33,56.13,-,-,-,2.52,1.25,1.15,7.7,5.53,5.28
402,Belitung,11.84,11.85,11.86,13662,13554,13563,8.41,8.46,8.47,70.94,71.05,71.1,72.46,72.51,72.57,-,-,-,0.11,0.16,0.06,0.69,0.74,0.51
403,Pidie Jaya,14.54,14.82,14.97,10364,10071,10290,9.04,9.33,9.34,70.06,70.14,70.18,72.87,73.2,73.6,-,-,-,0.67,0.81,0.98,2.85,3.08,3.61
405,Kota Palopo,15.07,15.08,15.09,12986,12995,13117,10.75,10.76,10.94,70.79,70.88,70.92,77.98,78.06,78.38,-,-,-,0.29,0.21,0.3,1.15,0.95,1.17
406,Klungkung,12.98,12.99,13.0,11484,11376,11287,8.12,8.13,8.14,71.06,71.25,71.41,71.71,71.73,71.75,-,-,-,0.13,0.17,0.25,0.62,0.67,0.82
407,Bone Bolango,13.45,13.57,13.65,10147,10052,10198,8.07,8.31,8.32,68.38,68.46,68.52,69.63,69.98,70.25,-,-,-,1.39,0.77,0.86,4.15,2.99,3.23
408,Aceh Timur,13.02,13.03,13.04,8600,8489,8577,7.86,8.15,8.21,68.67,68.72,68.74,67.39,67.63,67.83,-,-,-,0.4,0.61,0.54,1.89,2.29,2.31
410,Supiori,12.73,12.74,13.0,5820,5677,5708,8.6,8.81,8.87,65.81,65.94,66.06,62.3,62.3,62.72,-,-,-,2.02,3.8,2.41,7.35,10.52,8.45
411,Majalengka,12.21,12.22,12.23,9822,9521,9591,7.09,7.27,7.31,69.97,70.27,70.46,67.52,67.59,67.81,-,-,-,0.28,0.25,0.77,1.39,1.41,2.44
412,Waropen,12.78,12.79,12.8,7018,6732,6788,9.18,9.2,9.21,66.24,66.33,66.42,65.34,64.94,65.1,-,-,-,1.69,4.12,1.2,6.25,9.9,4.72
413,Kota Pariaman,14.53,14.54,14.55,12958,12796,12818,10.37,10.59,10.67,70.15,70.28,70.38,76.7,76.9,77.07,-,-,-,0.07,0.1,0.08,0.49,0.49,0.36
414,Kota Pasuruan,13.6,13.62,13.63,13393,13281,13354,9.11,9.12,9.33,71.4,71.52,71.6,75.25,75.26,75.62,-,-,-,0.17,0.14,0.27,0.91,0.78,1.15
415,Tambrauw,11.62,11.91,12.18,5001,4998,4903,5.07,5.24,5.39,59.96,60.13,60.2,52.9,53.45,53.71,-,-,-,1.23,3.23,1.91,5.28,8.99,6.79
416,Konawe,12.99,13.0,13.01,10200,10126,10151,9.14,9.15,9.21,70.02,70.27,70.32,71.29,71.35,71.48,-,-,-,0.58,0.35,0.83,2.23,1.71,2.67
417,Lahat,12.33,12.34,12.35,10071,9730,9735,8.45,8.46,8.52,65.76,66.04,66.16,67.62,67.44,67.58,-,-,-,0.69,0.67,0.81,2.66,2.64,3.14
420,Poso,13.69,13.7,13.71,9084,8808,8850,9.36,9.41,9.5,70.85,71.18,71.19,71.4,71.28,71.45,-,-,-,0.8,0.68,0.62,2.87,2.53,2.57
421,Pinrang,13.22,13.23,13.24,11828,11844,11956,7.85,7.86,7.87,69.39,69.61,69.77,71.12,71.26,71.45,-,-,-,0.4,0.34,0.5,1.54,1.27,1.77
422,Puncak Jaya,6.96,7.24,7.49,5523,5282,5289,3.61,3.62,3.74,64.98,65.15,65.33,48.33,48.37,48.99,-,-,-,3.35,6.99,5.58,9.49,13.41,12.4
423,Mamuju Utara,11.66,11.93,11.95,11094,11111,11072,7.92,7.98,8.09,65.91,66.2,66.45,67.27,67.79,68.03,31,31,31,0.09,0.04,0.11,0.46,0.36,0.55
425,Mamberamo Raya,11.78,11.79,11.8,4807,4581,4603,5.65,5.66,5.87,57.55,57.77,58.0,52.2,51.78,52.18,-,-,-,2.39,1.01,0.92,6.87,4.12,3.53
426,Banggai Laut,12.89,12.95,12.96,7888,7663,7707,8.51,8.62,8.63,64.79,65.38,65.67,65.27,65.43,65.65,-,-,-,0.56,0.36,0.83,2.49,1.59,2.93
428,Seluma,13.27,13.28,13.29,8209,8220,8256,7.91,7.99,8.0,67.56,67.75,67.9,66.69,66.89,67.03,-,-,-,0.61,0.7,0.61,2.71,2.87,2.7
430,Pacitan,12.62,12.64,12.65,9033,8796,8887,7.28,7.6,7.61,71.77,71.94,72.07,68.16,68.39,68.57,-,-,-,0.34,0.71,0.28,1.75,2.68,1.66
431,Bombana,11.83,11.84,11.85,8344,8234,8310,7.74,8.03,8.04,68.54,68.91,69.09,65.65,66.05,66.25,-,-,-,0.2,0.32,0.56,1.01,1.35,1.94
432,Kepulauan Aru,12.29,12.3,12.31,7678,7586,7623,8.71,8.82,8.83,62.73,62.87,62.96,63.64,63.71,63.83,26,26,26,0.98,1.14,1.1,4.14,4.47,4.73
434,Enrekang,13.69,13.7,13.71,10800,10844,10973,8.89,8.9,8.91,70.83,70.91,70.93,72.66,72.76,72.91,-,-,-,0.38,0.34,0.24,1.7,1.61,1.35
435,Tolikara,8.28,8.6,8.61,5142,4826,4841,3.63,3.64,3.65,65.58,65.71,65.83,49.68,49.5,49.6,-,-,-,1.54,1.8,0.48,5.95,6.7,3.34
436,Rejang Lebong,13.68,13.83,13.93,10162,10234,10323,8.26,8.28,8.33,68.37,68.57,68.75,70.1,70.44,70.77,-,-,-,0.28,0.35,0.4,1.47,1.79,2.04
437,Mamuju Tengah,11.92,12.23,12.53,8501,8414,8408,7.24,7.46,7.51,68.06,68.33,68.55,65.1,65.71,66.18,-,-,-,0.34,0.18,0.27,1.37,0.88,1.15
438,Keerom,12.41,12.42,12.43,9136,8910,8926,8.0,8.01,8.02,66.6,66.69,66.78,66.59,66.4,66.49,-,-,-,0.8,0.7,0.95,2.99,2.79,3.16
439,Aceh Jaya,13.97,13.98,13.99,9682,9615,9666,8.66,8.7,8.71,67.11,67.16,67.19,69.74,69.75,69.84,-,-,-,0.65,0.54,0.5,2.49,2.19,2.06
440,Buton Selatan,12.94,13.23,13.24,7293,7263,7279,7.32,7.53,7.54,67.5,67.66,67.69,64.37,64.93,64.99,-,-,-,0.61,0.42,0.38,2.38,1.82,1.87
441,Bintan,12.95,13.1,13.26,14730,14482,14393,8.36,8.44,8.67,70.3,70.38,70.46,73.98,74.13,74.57,-,-,-,0.09,0.17,0.11,0.63,0.81,0.65
442,Dompu,13.31,13.32,13.53,9027,8889,8899,8.4,8.44,8.72,66.6,66.82,66.99,67.83,67.84,68.45,-,-,-,0.35,0.34,0.25,1.62,1.65,1.33
443,Siau Tagulandang Biaro,11.64,11.67,11.86,8252,8080,8145,8.75,8.97,9.03,70.54,70.73,70.87,67.48,67.64,68.05,-,-,-,0.3,0.14,0.18,1.52,0.83,0.97
444,Kota Cilegon,13.15,13.16,13.18,13230,13010,13041,9.74,9.87,10.08,66.6,66.67,66.69,73.01,73.05,73.35,-,-,-,0.07,0.06,0.11,0.34,0.39,0.5
445,Lebong,12.56,12.57,12.58,11177,11124,11317,7.9,7.99,8.18,63.12,63.29,63.4,66.84,67.01,67.46,-,-,-,0.21,0.35,0.29,1.27,1.45,1.42
446,Kota Banjar Baru,14.8,14.81,14.82,13949,13675,13789,10.94,10.95,10.96,71.87,71.99,72.1,79.22,79.1,79.26,-,-,-,0.26,0.1,0.1,0.86,0.48,0.46
448,Simalungun,12.77,12.78,12.79,11422,11308,11376,9.36,9.6,9.61,71.07,71.22,71.37,72.98,73.25,73.4,-,-,-,0.18,0.35,0.23,0.99,1.47,1.12
449,Parigi Moutong,12.46,12.47,12.48,9878,9641,9675,7.47,7.48,7.74,63.94,64.3,64.35,65.47,65.44,65.82,-,-,-,0.91,1.22,0.95,3.06,3.49,3.26
450,Kepulauan Anambas,12.75,12.81,12.88,12065,11875,11950,6.91,7.17,7.34,67.06,67.21,67.36,68.48,68.8,69.23,-,-,-,0.26,0.2,0.19,1.14,0.96,0.87
451,Kota Dumai,13.1,13.12,13.31,12453,11751,11818,9.85,10.07,10.14,70.82,70.93,70.98,74.64,74.4,74.75,-,-,-,0.05,0.05,0.07,0.28,0.31,0.4
452,Malinau,13.29,13.3,13.31,10121,9611,9928,9.05,9.39,9.4,71.42,71.45,71.49,72.06,71.94,72.32,-,-,-,0.14,0.28,0.23,0.85,1.16,0.85
453,Tanggamus,12.17,12.18,12.19,9294,9250,9266,7.21,7.22,7.34,68.4,68.56,68.67,66.37,66.42,66.65,-,-,-,0.21,0.24,0.23,1.24,1.36,1.26
455,Kaimana,11.98,12.13,12.41,8304,8325,8151,8.28,8.41,8.58,64.64,64.81,64.93,64.59,65.0,65.31,-,-,-,1.42,0.59,0.73,4.02,2.36,2.83
456,Mukomuko,12.72,12.73,12.74,10381,10266,10405,7.99,8.29,8.3,66.51,66.64,66.73,68.12,68.45,68.64,-,-,-,0.58,0.38,0.48,2.19,1.52,1.88
458,Kota Sibolga,13.15,13.16,13.28,11656,11473,11540,10.18,10.4,10.41,68.77,69.01,69.25,73.41,73.63,73.94,-,-,-,0.21,0.26,0.51,1.26,1.49,2.04
459,Lombok Timur,13.51,13.69,13.9,9639,9409,9450,6.69,6.7,6.71,65.74,65.97,66.16,66.23,66.3,66.66,-,-,-,0.25,0.42,0.88,1.48,1.84,2.88
462,Kota Batam,13.15,13.16,13.17,18146,18095,18034,11.13,11.14,11.15,73.29,73.33,73.36,81.09,81.11,81.12,-,-,-,0.09,0.2,0.25,0.53,0.7,0.89
463,Mojokerto,12.61,12.88,12.95,12860,12779,12844,8.49,8.51,8.64,72.43,72.53,72.59,73.53,73.83,74.15,-,-,-,0.27,0.51,0.37,1.29,1.95,1.59
464,Banjar,12.28,12.44,12.73,12681,12603,12707,7.34,7.35,7.52,66.97,67.21,67.41,68.94,69.18,69.89,-,-,-,0.03,0.04,0.05,0.26,0.26,0.36
465,Bantaeng,12.03,12.04,12.05,11592,11632,11829,6.48,6.72,6.77,70.42,70.54,70.6,68.3,68.73,68.99,-,-,-,0.28,0.18,0.27,1.35,0.97,1.23
466,Gresik,13.72,13.73,13.77,13295,13246,13280,9.29,9.3,9.56,72.61,72.66,72.67,76.1,76.11,76.5,-,-,-,0.61,0.8,0.61,2.21,2.51,2.15
467,Buton,13.74,13.75,13.76,7366,7307,7324,7.51,7.71,7.92,67.92,68.25,68.39,65.67,65.98,66.32,-,-,-,0.41,0.41,0.42,1.87,1.94,1.84
468,Lingga,12.44,12.45,12.59,12091,11998,11938,6.51,6.67,6.88,61.75,62.06,62.39,64.98,65.29,65.83,-,-,-,0.46,0.58,0.9,1.97,2.32,2.98
469,Empat Lawang,12.05,12.06,12.07,9594,9350,9400,7.39,7.6,7.64,64.81,65.08,65.13,65.1,65.25,65.39,-,-,-,0.46,0.49,0.42,1.87,1.89,1.84
470,Kota Balikpapan,14.13,14.14,14.22,14791,14549,14862,10.67,10.68,10.91,74.41,74.49,74.76,80.11,80.01,80.71,-,-,-,0.06,0.12,0.15,0.26,0.38,0.5
472,Kota Pematang Siantar,14.21,14.45,14.57,12571,12372,12436,11.15,11.16,11.29,73.33,73.55,73.77,78.57,78.75,79.17,-,-,-,0.1,0.26,0.24,0.7,1.1,1.12
473,Kota Pagar Alam,12.84,12.85,13.05,9291,8795,8877,9.14,9.39,9.4,66.41,66.71,66.85,68.44,68.31,68.68,-,-,-,0.16,0.16,0.2,0.9,0.99,1.03
476,Kota Bengkulu,16.01,16.02,16.03,14030,13938,14108,11.78,11.79,11.8,70.04,70.13,70.2,80.35,80.36,80.54,-,-,-,1.22,1.02,0.87,3.89,3.51,3.31
477,Tanjung Jabung Timur,12.01,12.16,12.17,9192,9026,9163,6.35,6.7,6.92,66.08,66.23,66.34,63.92,64.43,64.91,-,-,-,0.47,0.31,0.61,1.75,1.45,2.07
478,Gunung Kidul,12.96,12.97,12.98,9612,9486,9505,7.13,7.21,7.3,74.03,74.12,74.19,69.96,69.98,70.16,-,-,-,0.53,0.63,0.76,2.58,2.68,2.98
479,Muna Barat,12.2,12.5,12.51,7526,7485,7502,6.77,7.01,7.3,70.16,70.34,70.35,64.45,65.08,65.48,-,-,-,0.48,0.39,0.47,2.2,1.98,2.03
481,Manggarai,13.14,13.41,13.69,7276,7203,7133,7.27,7.37,7.61,66.77,67.03,67.11,64.15,64.54,65.01,-,-,-,0.92,1.46,1.6,3.48,4.53,4.83
482,Lamongan,13.47,13.48,13.77,11572,11456,11510,7.89,7.92,8.04,72.27,72.4,72.49,72.57,72.58,73.12,-,-,-,0.67,0.78,0.73,2.53,2.71,2.7
483,Kota Jakarta Pusat,13.24,13.25,13.26,17285,17179,17365,11.25,11.38,11.39,74.02,74.11,74.19,81.24,81.39,81.56,-,-,-,0.05,0.15,0.11,0.33,0.6,0.53
484,Tasikmalaya,12.52,12.53,12.54,8092,7852,7829,7.17,7.35,7.48,69.21,69.47,69.67,65.64,65.67,65.9,-,-,-,0.12,0.11,0.35,0.84,0.83,1.57
485,Polewali Mandar,13.05,13.06,13.38,8598,8580,8548,7.4,7.41,7.44,62.18,62.38,62.53,63.74,63.84,64.23,-,-,-,0.84,0.79,0.59,3.0,2.74,2.52
486,Aceh Tengah,14.26,14.27,14.28,10782,10673,10780,9.69,9.85,9.86,68.82,68.85,68.86,73.14,73.24,73.37,-,-,-,0.46,0.95,0.8,2.08,2.89,2.88
487,Rote Ndao,13.17,13.18,13.19,6720,6539,6503,7.29,7.59,7.71,64.34,64.6,64.88,62.22,62.39,62.6,-,-,-,1.33,1.35,1.67,5.08,5.36,5.82
488,Garut,11.82,11.91,12.03,8099,7876,7961,7.51,7.52,7.53,71.22,71.41,71.59,66.22,66.12,66.45,-,-,-,0.16,0.15,0.29,0.87,0.97,1.4
490,Kota Makasar,15.56,15.57,15.58,16989,16873,17097,11.2,11.21,11.43,72.0,72.09,72.13,82.25,82.25,82.66,-,-,-,0.15,0.12,0.16,0.6,0.58,0.76
491,Sidenreng Rappang,12.93,12.94,12.95,12039,12073,12201,7.83,7.84,7.94,69.59,69.83,70.01,71.05,71.21,71.54,-,-,-,0.13,0.19,0.13,0.6,0.82,0.64
493,Kota Banda Aceh,17.39,17.79,17.8,16892,16778,16891,12.64,12.65,12.83,71.36,71.45,71.52,85.07,85.41,85.71,-,-,-,0.37,0.23,0.36,1.34,1.0,1.12
494,Balangan,12.37,12.46,12.47,11557,11452,11500,7.27,7.55,7.69,67.59,67.72,67.85,68.39,68.82,69.11,-,-,-,0.2,0.24,0.19,0.87,0.88,0.79
495,Rokan Hilir,12.67,12.68,12.76,9672,9362,9417,8.24,8.25,8.26,70.17,70.3,70.39,69.4,69.15,69.34,-,-,-,0.19,0.3,0.18,0.86,1.1,0.79
496,Tanah Datar,14.32,14.33,14.34,10709,10588,10616,8.45,8.61,8.62,69.73,69.94,70.12,72.14,72.33,72.46,-,-,-,0.06,0.06,0.13,0.42,0.42,0.64
498,Sarolangun,12.26,12.27,12.28,11679,11616,11792,7.76,7.87,8.04,69.09,69.17,69.21,69.72,69.86,70.25,-,-,-,0.27,0.21,0.21,1.17,1.08,1.13
499,Pesisir Barat,11.98,11.99,12.0,8652,8457,8533,7.82,8.01,8.19,63.27,63.5,63.66,63.79,63.91,64.3,-,-,-,0.31,0.35,0.59,1.6,1.8,2.39
500,Luwu Utara,12.42,12.43,12.57,11583,11562,11736,7.78,7.79,7.86,68.31,68.51,68.67,69.46,69.57,70.02,-,-,-,0.61,0.61,0.49,2.55,2.29,2.07
502,Padang Lawas Utara,12.47,12.87,13.04,10194,9987,10055,9.1,9.37,9.38,67.06,67.17,67.22,69.29,69.85,70.11,-,-,-,0.26,0.22,0.24,1.18,1.2,1.29
504,Kota Palembang,14.4,14.41,14.42,15087,14679,14704,10.52,10.53,10.75,70.54,70.79,71.01,78.44,78.33,78.72,-,-,-,0.5,0.4,0.49,1.86,1.67,1.86
505,Banggai,13.23,13.24,13.25,9842,9554,9603,8.24,8.52,8.53,70.61,70.88,70.88,70.36,70.52,70.6,-,-,-,0.26,0.21,0.23,1.15,1.05,1.09
507,Tanah Laut,11.96,12.01,12.31,11318,11207,11310,7.64,7.88,7.89,69.31,69.45,69.59,69.04,69.38,69.87,-,-,-,0.11,0.12,0.14,0.58,0.58,0.68
508,Mahakam Ulu,12.5,12.51,12.61,8008,7524,7802,7.89,7.97,8.18,71.9,72.1,72.33,67.58,67.09,67.95,-,-,-,0.55,0.29,0.37,1.94,1.46,1.77
510,Nias Selatan,12.22,12.23,12.27,7105,6974,7041,5.53,5.85,6.06,68.58,68.74,68.86,61.59,61.89,62.35,-,-,-,0.5,0.76,0.52,2.28,2.82,2.38
511,Katingan,12.51,12.67,12.81,10639,10548,10568,8.66,8.67,8.68,65.7,65.78,65.87,68.55,68.68,68.89,-,-,-,0.3,0.09,0.07,0.94,0.51,0.47
